#id,,shell penetrates this mm of armor vertical (side) / horizontal (top) after hit from this range in km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,caliberInch,vert_0,vert_1,vert_5,vert_10,vert_15,vert_20,vert_25,vert_30,vert_35,vert_40,vert_50,horiz_5,horiz_10,horiz_15,horiz_20,horiz_25,horiz_30,horiz_35,horiz_40,horiz_50,#comment,#,#,#,#,#,#,#,#,,,,,,,,,,,
default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thickness of effectively penetrated armor (in mm) at range (in km) for guns of last grade with basic shell,,,,,,,,,,,,,,,,,,,
1,1,75,70,40,18,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,ModVer,ModHor,,,,,,,,,,,,,
2,2,125,115,60,28,13,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,ModVer,ModHor,,,,,,,,,,,,,
3,3,160,145,80,40,20,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,,,,,0.6960588479,2.538948215,,,,,,,,,,,,,
4,4,205,185,105,55,28,12,4,0,0,0,0,3,1,0,0,0,0,0,0,0,,,,,,1.604728125,1.0550925,0.855,0.87,,,,,,,,,,,
5,5,250,225,130,70,38,18,8,2,0,0,0,4,2,1,0,0,0,0,0,0,,,,,,0.433755,2.406375,,,,,,,,,,,,,
6,6,300,275,180,110,70,45,28,17,9,4,0,6,4,3,2,1,1,0,0,0,,,,,,1.25,0.7,,,,,,,,,,,,,
7,7,355,325,230,150,100,68,45,30,19,11,3,8,6,4,3,2,2,1,1,0,,,,,,0.54219375,1.6844625,,,,,,,,,,,,,
8,8,380,350,260,180,125,88,62,44,31,21,9,8,6,5,5,4,4,3,2,2,,,,,,,,,,,,,,,,,,,,
9,9,440,405,305,215,155,112,82,60,44,31,15,10,7,6,5,5,4,3,3,2,,,,,,,,,,,,,,,,,,,,
10,10,500,460,350,250,185,138,104,79,60,45,24,12,9,7,6,6,5,4,4,3,,,,,,,,,,,,,,,,,,,,
11,11,555,510,395,290,220,170,132,104,82,64,38,15,11,9,8,7,6,5,5,4,,,,,,,,,,,,,,,,,,,,
12,12,610,560,440,330,255,200,158,127,102,82,52,18,13,11,9,8,7,7,6,5,,,,,,,,,,,,,,,,,,,,
13,13,670,615,490,375,295,235,190,156,129,107,72,22,16,13,11,10,9,8,7,6,,,,,,,,,,,,,,,,,,,,
14,14,780,720,580,455,365,300,250,211,180,154,114,28,21,17,15,13,12,11,10,9,,,,,,,,,,,,,,,,,,,,
15,15,850,785,635,505,410,340,288,246,212,184,140,33,25,21,18,16,15,14,13,12,,,,,,,,,,,,,,,,,,,,
16,16,853,800,710,648,560,485,420,376,330,300,240,38,43,65,89,112,135,190,310,356,,,,,,,,,,,,,,,,,,,,
17,17,900,850,760,700,615,540,475,420,380,340,280,43,50,75,100,130,155,215,345,390,,,,,,,,,,,,,,,,,,,,
18,18,864,820,740,660,575,494,425,360,320,285,235,50,60,90,109,140,189,235,380,430,,,,,,,,,,,,,,,,,,,,
19,19,920,875,795,710,625,545,475,410,365,325,275,55,66,98,120,155,210,260,415,470,,,,,,,,,,,,,,,,,,,,
20,20,980,930,850,760,675,595,525,460,415,375,325,60,72,108,132,170,230,285,450,510,,,,,,,,,,,,,,,,,,,,
21,21,1040,985,905,810,725,645,575,510,465,425,375,65,78,116,142,185,250,310,485,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1.385,0.9,1.875,1.97,1.9,1.8,1.7,1.6,1.5,1.4,0.4,,,,,,0.95,0.6,0.5,0.5,,,,,,,,,,,,,,,,,,,,
